mal_id,title,score,genre_list,studios,episodes,source,season,year,type,rating
1,Cowboy Bebop,8.75,"['Action', 'Award Winning', 'Sci-Fi']",['Sunrise'],26,Original,Spring,1998,TV,R - 17+ (violence & profanity)
5,Cowboy Bebop: Tengoku no Tobira,8.38,"['Action', 'Sci-Fi']",['Bones'],1,Original,,2001,Movie,R - 17+ (violence & profanity)
6,Trigun,8.22,"['Action', 'Adventure', 'Sci-Fi']",['Madhouse'],26,Manga,Spring,1998,TV,PG-13 - Teens 13 or older
7,Witch Hunter Robin,7.23,"['Action', 'Drama', 'Mystery', 'Supernatural']",['Sunrise'],26,Original,Summer,2002,TV,PG-13 - Teens 13 or older
8,Bouken Ou Beet,6.92,"['Action', 'Adventure', 'Fantasy']",['Toei Animation'],52,Manga,Fall,2004,TV,PG - Children
15,Eyeshield 21,7.91,['Sports'],['Gallop'],145,Manga,Spring,2005,TV,PG-13 - Teens 13 or older
16,Hachimitsu to Clover,7.98,"['Comedy', 'Drama', 'Romance']",['J.C.Staff'],24,Manga,Spring,2005,TV,PG-13 - Teens 13 or older
17,Hungry Heart: Wild Striker,7.54,['Sports'],['Nippon Animation'],52,Manga,Fall,2002,TV,PG-13 - Teens 13 or older
18,Initial D Fourth Stage,8.17,"['Action', 'Drama']",['A.C.G.T.'],24,Manga,Spring,2004,TV,PG-13 - Teens 13 or older
19,Monster,8.89,"['Drama', 'Mystery', 'Suspense']",['Madhouse'],74,Manga,Spring,2004,TV,R+ - Mild Nudity
20,Naruto,8.01,"['Action', 'Adventure', 'Fantasy']",['Studio Pierrot'],220,Manga,Fall,2002,TV,PG-13 - Teens 13 or older
21,One Piece,8.73,"['Action', 'Adventure', 'Fantasy']",['Toei Animation'],0,Manga,Fall,1999,TV,PG-13 - Teens 13 or older
22,Tennis no Oujisama,7.84,['Sports'],['Trans Arts'],178,Manga,Fall,2001,TV,PG-13 - Teens 13 or older
23,Ring ni Kakero 1,6.35,['Sports'],['Toei Animation'],12,Manga,Fall,2004,TV,PG - Children
24,School Rumble,7.88,"['Comedy', 'Romance']",['Studio Comet'],26,Manga,Fall,2004,TV,PG-13 - Teens 13 or older
